"Type";"Coverage";"OdName";"AREA";"AreaName";"REG";"RegName";"DEV";"DevName";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"country";"criterion"
"Emigrants";"Both";"Australia";"909";"Oceania";"927";"Australia and New Zealand";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"0";"0";"..";"..";"1";"0";"1";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Azerbaijan";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"800";"856";"634";"..";"..";"..";"860";"832";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Belarus";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"153";"180";"145";"143";"153";"174";"147";"143";"89";"32";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Canada";"905";"Northern America";"905";"Northern America";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"8";"10";"11";"15";"11";"12";"29";"6";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Czech Republic";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"2";"..";"2";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Estonia";"908";"Europe";"924";"Northern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"3";"..";"1";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"France";"908";"Europe";"926";"Western Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"0";"1";"1";"..";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Georgia";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"66";"61";"36";"36";"48";"43";"21";"7";"12";"14";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Germany";"908";"Europe";"926";"Western Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"22";"15";"11";"10";"4";"0";"0";"1";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Greece";"908";"Europe";"925";"Southern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"4";"1";"0";"1";"..";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Holy See";"908";"Europe";"925";"Southern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"7";"..";"..";"..";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Hungary";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"..";"1";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Israel";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"34";"19";"16";"15";"11";"12";"5";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Kazakhstan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"47";"70";"97";"91";"103";"93";"97";"76";"73";"165";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Kyrgyzstan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"2";"13";"7";"5";"1";"0";"1";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Latvia";"908";"Europe";"924";"Northern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"2";"1";"1";"7";"3";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Lithuania";"908";"Europe";"924";"Northern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"8";"3";"3";"2";"..";"4";"9";"7";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Poland";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"..";"4";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Republic of Moldova";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"25";"9";"12";"21";"32";"20";"..";"7";"18";"7";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Romania";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"1";"1";"..";"1";"0";"1";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Russian Federation";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"9632";"9201";"7791";"6152";"6226";"6256";"5053";"4830";"4166";"2813";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Tajikistan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"2";"3";"3";"0";"..";"..";"1";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Turkmenistan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"6";"1";"0";"1";"0";"..";"..";"2";"1";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Ukraine";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"654";"515";"381";"383";"438";"414";"368";"290";"272";"167";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"United States of America";"905";"Northern America";"905";"Northern America";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"573";"582";"664";"706";"633";"519";"579";"33";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Uzbekistan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"21";"21";"24";"10";"8";"12";"14";"8";"6";"14";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Unknown";"999";"World";"999";"World";"999";"World";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1426";"1841";"491";"141";"91";"1532";"1673";"1543";"1";"7";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Total";"999";"World";"999";"World";"999";"World";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"12030";"11901";"10433";"8482";"8451";"9303";"8053";"7461";"6121";"4100";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Azerbaijan";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"109";"84";"219";"223";"178";"233";"173";"169";"189";"268";"..";"..";"..";"..";"Armenia";"Residence"
